length,number_of_hashtags,number_of_mentions,likes_received,retweets_received,sentiment_polarity,sentiment.subjectivity,time
90,0,0,66968,14524,-0.2,0.5,15
93,0,0,72546,20497,0.0,0.0,11
146,0,0,64453,14185,-0.15,0.25,11
142,0,0,102616,27189,0.4816666666666667,0.7933333333333333,11
142,0,0,76069,21537,0.5,0.5,11
25,0,0,132242,32042,1.0,0.75,02
142,0,0,88519,17368,0.3444444444444444,0.8666666666666667,02
146,0,0,53884,13826,0.0,0.06666666666666667,02
142,0,0,48050,10630,0.35,0.7,01
142,0,0,136724,28981,0.07500000000000001,0.5625,13
146,0,0,91882,20099,0.0,0.0,04
148,0,0,187309,50094,-0.09999999999999999,0.6666666666666666,01
146,0,0,472208,186327,0.0,0.0,00
142,0,0,86930,19179,0.0,0.0,22
142,0,0,110477,28068,0.125,0.625,22
141,0,0,59346,11955,0.6166666666666667,0.95,22
144,0,0,66553,15725,0.5027777777777778,0.8333333333333334,18
142,0,0,83804,18211,-0.020833333333333343,0.5208333333333333,15
146,0,0,74435,16316,0.125,0.25,14
142,0,0,76226,17747,0.10227272727272725,0.32525252525252524,14
142,0,0,85658,16234,0.3,0.30000000000000004,14
146,0,0,74832,17160,-0.24166666666666667,0.4583333333333333,14
92,0,0,83994,15368,0.5,0.425,13
142,0,0,66826,14199,0.6,0.9,13
143,0,0,126392,36638,0.16666666666666666,0.24166666666666667,12
142,0,0,102760,27987,-0.4583333333333333,0.6666666666666666,12
119,0,0,113467,16981,0.39015151515151514,0.4681818181818182,13
142,0,0,109156,28990,-0.09999999999999998,0.875,12
142,0,0,298582,99779,0.25,0.2833333333333333,12
96,0,0,194902,42108,0.3940909090909091,0.6809090909090909,23
142,0,0,198839,46915,0.0,0.0,22
142,0,0,110054,33410,0.0,0.3,22
142,0,0,133876,32645,0.6710227272727273,0.7348484848484849,19
142,0,1,87786,18799,-1.0,1.0,18
142,0,0,117873,28389,0.10714285714285714,0.6964285714285714,13
142,0,0,71011,15813,-0.07777777777777779,0.19444444444444448,13
142,0,0,118763,32467,0.2333333333333333,0.6666666666666666,13
78,0,0,64389,13991,0.0,0.0,04
142,0,0,124850,25524,-0.08,0.48,22
144,0,0,210704,54130,-0.21416666666666667,0.6791666666666667,22
144,0,0,78151,17407,-0.025,0.1,21
142,0,0,85098,24696,0.0,0.0,19
142,0,0,83182,24571,0.095,0.54,19
148,0,0,143640,61707,0.375,0.5,03
142,0,0,145948,35925,-0.6,1.0,13
142,0,0,121874,28165,0.5,0.5,13
142,0,2,0,16005,0.27539682539682536,0.4400793650793651,12
142,0,1,0,19239,0.0,0.75,12
142,0,2,0,11402,0.0,0.0,12
142,0,1,0,16650,0.34,0.5599999999999999,12
142,0,1,100754,23593,-0.25,0.65,12
144,0,0,207529,66642,0.18721590909090907,0.43863636363636366,00
92,0,0,68809,15812,1.0,0.75,23
107,0,1,0,21461,0.0,0.0,22
133,0,3,0,2301,0.0,0.0,22
101,1,2,0,6775,0.0,0.0,22
148,0,2,0,12136,-0.1875,0.5,22
72,1,0,75559,27044,-0.05,0.4,19
142,0,0,126891,32290,-0.48750000000000004,0.48750000000000004,16
135,0,0,110087,21792,0.625,0.5,16
142,0,0,66908,14728,0.21666666666666665,0.3888888888888889,15
86,0,0,86362,21461,0.0,0.0,02
144,0,0,69639,19935,0.0,0.0,02
146,0,0,109642,18568,0.4,0.375,23
142,0,0,131819,25475,0.175,0.525,22
144,0,1,120387,35800,0.1,1.0,13
141,0,0,110994,20755,-0.325,0.7,11
144,0,0,200835,34957,0.5333333333333333,0.5,23
144,0,1,0,23722,0.0,1.0,23
42,0,0,205442,50021,0.0,0.0,13
41,0,0,151787,34038,0.0,0.0,03
142,0,0,233137,55081,0.8,1.0,02
142,0,0,112039,23262,0.05333333333333334,0.6466666666666666,20
141,0,0,140921,33288,-0.2733333333333333,0.7666666666666667,13
85,0,2,0,11896,0.0,0.0,12
146,0,1,100212,29816,0.0,0.0,12
142,0,0,85802,16964,0.0,0.0,22
142,0,0,101709,22753,0.2333333333333333,0.43333333333333335,22
68,0,1,66604,16825,0.1,1.0,20
101,0,0,73481,21011,0.68359375,0.55,20
143,0,0,121928,36248,0.0,0.0,20
57,1,1,0,21291,0.0,0.0,20
131,0,0,122100,25802,-0.13333333333333333,0.5333333333333333,22
140,0,0,69412,16033,0.575,0.65,20
134,0,0,91450,19212,0.25,0.1,20
142,0,0,73462,16535,0.6,0.7166666666666667,18
128,0,0,104737,21800,-0.20555555555555557,0.5430555555555555,16
141,0,0,103638,19493,0.0,0.0,15
144,0,0,92440,20058,-0.6,0.9,15
146,0,0,86732,19084,-0.016666666666666663,0.25,14
141,0,0,122877,28111,0.7,0.6000000000000001,13
32,0,0,48052,10332,0.4375,0.65,12
146,0,0,95642,22362,0.25272727272727274,0.5424242424242425,12
137,0,1,68951,14185,0.8,0.75,18
142,0,0,89329,21021,0.78,1.0,14
65,0,0,86591,18360,0.9,0.525,13
142,0,1,92548,19363,0.6666666666666666,0.5833333333333334,12
142,0,0,112042,25784,-0.44999999999999996,0.9166666666666666,12
58,0,0,101888,24421,1.0,0.75,21
105,1,0,83554,20953,0.0,0.0,18
68,0,0,68807,15644,1.0,0.75,17
146,0,1,88881,18113,0.2,0.5,16
141,0,0,79362,18227,0.07142857142857144,0.6428571428571429,14
142,0,0,141104,32065,-0.5,0.7,06
142,0,0,128361,24874,0.8,0.75,20
146,0,1,97590,25370,0.0,0.0,15
141,0,0,70066,14553,0.05000000000000001,0.4166666666666667,11
85,0,0,114478,24606,0.625,0.5416666666666666,11
142,0,0,67104,16862,0.0,0.0,00
142,0,0,61533,15933,-0.4,0.4,23
106,0,0,98437,21806,0.125,1.0,22
42,0,0,40343,8804,0.0,0.0,22
39,0,0,44239,8883,0.4375,0.65,22
142,0,0,48755,10169,0.0,0.0,20
142,0,0,48835,10472,0.06666666666666667,0.39444444444444443,20
142,0,0,64437,13166,0.125,0.375,20
142,0,0,43102,8896,0.25,0.75,19
142,0,0,83409,15265,0.0,0.0,18
142,0,0,107141,23478,0.5,0.5,18
51,0,1,44335,6351,0.0,0.0,11
142,0,0,88318,19210,0.0,0.0,11
146,1,0,61133,13238,0.5,0.5,00
136,0,0,63982,11086,0.4960714285714286,0.6857142857142857,21
